artist,title,lines,words,total_LQI,codeswitch_score,repetition_score,cadence_text_score,rhyme,internal,chain,multi_dens,compound_dens,holorime_dens,syl_density,syl_weight,alliteration,assonance,consonance,onomatopoeia,vocab,wordplay,simile,metaphor,pun,entendre,english,codeswitch,repetition,cadence_var,coherence_cosine,theme_cosine,pairwise_spread,mean_surprisal_nats,callback_cosine
Paradox,Zimmedaar,42,392,39.16,7.32,80.0,95.17,65.24,100.0,85.71,14.63,0.0,0.0,95.0,84.22,92.21,87.53,90.73,0.0,36.0,69.51,0.0,0.0,9.76,0.0,100.0,2.44,30.0,80.68,0.5548,0.6778,0.5541,3.0838,
Raftaar,36,87,724,34.23,89.65,30.88,82.65,43.19,100.0,13.39,11.63,0.0,0.0,88.81,81.9,91.25,50.27,71.04,43.2,75.16,49.81,2.33,2.33,2.33,5.81,90.48,54.65,7.06,52.65,0.3666,0.5258,0.7358,5.6484,
Raftaar,Aage Chal,89,563,32.78,51.39,0.0,100.0,45.85,79.1,14.53,14.81,0.0,0.0,83.88,81.92,86.88,60.88,66.53,0.0,78.68,63.27,1.23,0.0,6.17,4.94,82.35,22.22,0.0,100.0,0.3926,0.5832,0.6711,4.783,
Raftaar,Aisa Main Shaitaan,43,238,38.72,0.0,86.59,68.12,60.06,69.44,47.62,19.05,0.0,0.0,65.95,65.24,80.71,62.5,68.33,0.0,28.0,8.48,0.0,0.0,2.38,0.0,0.0,0.0,36.59,38.12,0.5175,0.6743,0.5586,4.3407,
Raftaar,Awein Hai,133,904,33.47,94.65,9.94,98.39,39.65,65.66,6.49,18.8,0.0,0.0,73.24,63.33,84.45,64.64,61.79,9.02,91.1,26.13,0.75,0.0,2.26,3.01,35.74,75.94,2.27,93.56,0.5159,0.7093,0.5054,6.0236,
Raftaar,BAAWE,106,726,37.31,77.45,0.0,74.07,64.0,100.0,23.53,51.89,0.0,0.0,83.41,80.31,95.82,89.18,88.17,3.77,95.58,91.87,15.09,0.0,11.32,2.83,39.46,42.45,0.0,44.07,0.3813,0.6293,0.6142,7.3122,
Raftaar,BANJO BOUNCE,95,413,33.67,85.0,18.82,77.32,41.45,44.12,21.01,13.83,0.0,0.0,50.78,80.81,98.27,51.33,50.21,0.0,96.81,23.94,0.0,0.0,2.13,3.19,53.24,50.0,4.3,47.32,0.2816,0.532,0.7291,8.4629,
Raftaar,Beshaq,74,458,24.0,19.67,78.33,70.09,26.06,38.76,0.0,6.56,0.0,0.0,54.92,60.3,68.33,59.5,39.44,0.0,55.0,16.8,0.0,0.0,3.28,0.0,85.71,6.56,28.33,40.09,0.5101,0.6517,0.585,6.3171,
Raftaar,Black Sheep,102,751,29.24,78.56,0.0,85.84,50.29,100.0,39.41,10.89,0.0,0.0,79.53,80.03,86.05,71.79,85.71,7.92,85.0,62.87,2.97,0.99,5.94,2.97,89.2,43.56,0.0,55.84,0.3041,0.514,0.7482,5.7822,
Raftaar,Damn,92,640,38.02,90.23,75.56,80.22,33.6,42.33,36.28,7.69,0.0,0.0,69.33,69.95,94.34,72.5,29.07,17.58,46.67,38.19,2.2,1.1,3.3,2.2,96.88,56.04,25.56,50.22,0.5619,0.6258,0.6187,5.638,
Raftaar,Dhaakad,50,255,42.04,0.0,70.41,62.61,39.61,53.76,0.0,18.0,0.0,0.0,56.6,80.06,82.0,55.83,34.26,0.0,73.85,40.12,0.0,0.0,6.0,0.0,0.0,0.0,20.41,33.63,0.602,0.7164,0.4967,5.8058,
