artist,title,true_tier,pred_tier,conf,chars,rhyme,syllable,alliteration,vocabulary,wordplay,assonance,consonance,onomatopoeia,compound_dens,holorime_dens
Dino James,Tandav,commercial,commercial,0.7354,6127,18.1,46.3,3.0,77.1,31.9,45.2,20.6,0.0,0.0,0.0
Dino James,Tere Naam Sahare,commercial,commercial,0.6502,929,32.9,28.2,0.0,35.6,9.7,36.2,16.8,0.0,0.0,0.0
Dino James,Unstoppable,commercial,commercial,0.7538,3768,21.3,32.7,5.5,95.7,42.4,24.5,19.1,27.6,0.0,0.0
Dino James,Wishlist,commercial,commercial,0.654,2470,13.2,85.1,5.5,92.0,46.2,42.7,54.6,0.0,0.0,0.0
Dino James,Yaadein,commercial,commercial,0.8626,1138,30.8,29.4,0.0,29.1,71.4,9.2,21.4,0.0,0.0,0.0
DIVINE,100 Million,commercial,mid,0.5022,1891,57.6,82.0,7.2,68.0,64.8,92.5,85.0,0.0,0.0,0.0
DIVINE,4.10,commercial,commercial,0.8166,2871,37.6,60.9,0.0,52.5,86.0,33.8,58.9,0.0,0.0,0.0
DIVINE,Akela,commercial,commercial,0.7058,2976,11.7,28.8,0.0,30.4,23.8,13.4,10.1,11.2,0.0,0.0
DIVINE,Azadi,commercial,commercial,0.7421,713,33.4,56.5,13.3,22.4,13.2,24.7,19.4,0.0,0.0,4.0
DIVINE,Baazigar,commercial,commercial,0.6428,2862,37.0,63.8,4.3,60.0,69.0,85.2,85.0,0.0,0.0,0.0
DIVINE,Chal Bombay,commercial,commercial,0.4393,3802,53.4,88.6,3.1,33.8,41.4,37.0,62.6,11.5,0.0,0.0
DIVINE,Disco Rap,commercial,commercial,0.7063,2977,4.6,26.4,0.0,43.1,21.2,14.1,12.9,20.8,0.0,0.0
DIVINE,Gandhi Money,commercial,commercial,0.7955,2567,14.5,71.6,5.0,31.1,38.2,25.8,37.3,0.0,0.0,0.0
DIVINE,Gunehgar,commercial,commercial,0.6876,3293,14.7,28.4,2.9,66.3,49.9,19.1,27.6,53.3,0.0,0.0
DIVINE,Junoon,commercial,commercial,0.74,1677,29.9,29.6,0.0,92.0,39.0,21.8,12.4,19.5,0.0,0.0
DIVINE,Kohinoor,commercial,commercial,0.7459,5530,31.4,62.3,9.1,78.2,35.4,41.5,75.3,30.1,0.0,0.0
DIVINE,Mere Gully Mein (Single),commercial,commercial,0.7965,3199,54.7,26.5,2.7,39.4,18.0,11.7,14.4,9.8,0.0,0.0
DIVINE,Mirchi,commercial,commercial,0.6111,2861,35.3,27.8,3.1,60.0,32.6,22.9,30.1,39.5,0.0,0.0
DIVINE,Punya Paap,commercial,commercial,0.6382,2215,22.3,58.4,0.0,48.4,52.7,45.5,58.9,0.0,0.0,0.0
DIVINE,Satya,commercial,commercial,0.731,1895,32.1,27.8,0.0,62.0,48.9,16.9,39.1,71.8,0.0,0.0
DIVINE,Sitara,commercial,commercial,0.806,2337,37.0,50.7,0.0,34.9,76.8,19.1,18.7,0.0,0.0,0.0
DIVINE,Too Hype,commercial,commercial,0.7436,4242,19.2,53.0,0.0,71.1,79.3,29.3,19.8,25.4,0.0,0.0
DIVINE,Traffic Jam,commercial,commercial,0.7153,2807,44.6,67.6,8.8,41.2,92.8,53.9,81.2,0.0,0.0,0.0
DIVINE,Triple OG,commercial,commercial,0.6677,5461,50.0,82.5,15.7,37.4,30.1,38.3,85.0,30.8,0.0,0.0
DIVINE,Vibe Hai,commercial,commercial,0.8512,3641,13.1,27.9,2.9,29.6,29.1,19.7,18.8,0.0,0.0,0.0
DIVINE,Wallah,commercial,commercial,0.8104,1531,38.3,95.0,0.0,27.5,10.0,87.8,66.8,88.8,0.0,0.0
Emiway Bantai,Checkmate,commercial,commercial,0.8111,1685,26.6,29.5,0.0,29.6,45.4,13.5,17.8,20.1,0.0,0.0
Emiway Bantai,Chusamba,commercial,commercial,0.7021,3283,27.0,52.9,3.3,59.2,68.8,83.3,70.5,63.9,1.0,0.0
Emiway Bantai,Company,commercial,commercial,0.6436,1672,43.5,66.5,0.0,33.8,0.0,15.3,48.7,0.0,0.0,0.0
Emiway Bantai,Dhua Dhua,commercial,commercial,0.8088,2446,37.5,27.0,0.0,27.9,29.7,13.2,17.4,0.0,0.0,0.0
Emiway Bantai,Dhyan De,commercial,commercial,0.7689,1772,41.8,25.7,0.0,64.0,49.1,32.4,26.5,54.2,0.0,0.0
Emiway Bantai,Firse Machayenge,commercial,commercial,0.6768,2364,40.4,84.5,0.0,93.5,29.1,23.8,44.5,0.0,0.0,0.0
Emiway Bantai,Freeverse Feast 2,commercial,commercial,0.7538,4277,25.4,69.2,2.7,65.8,79.8,53.0,67.4,10.0,0.0,0.0
Emiway Bantai,Giraftaar,commercial,commercial,0.7165,3882,38.5,52.6,0.0,66.0,34.6,27.5,37.6,9.4,0.0,0.0
Emiway Bantai,GUESS,commercial,commercial,0.7414,3626,19.9,40.4,0.0,77.7,56.3,23.0,55.4,0.0,0.0,0.0
Emiway Bantai,Gully ka Kutta,commercial,commercial,0.7406,5245,31.2,53.0,0.0,83.5,51.5,39.9,50.2,37.9,0.0,0.0
Emiway Bantai,HARD,commercial,commercial,0.72,3323,21.5,83.5,9.9,64.0,55.4,91.8,85.0,14.6,0.0,0.0
Emiway Bantai,HEAL,commercial,commercial,0.7296,2364,15.9,27.2,0.0,33.8,5.7,11.2,9.4,0.0,0.0,0.0
Emiway Bantai,Jallad,commercial,commercial,0.7597,6088,15.9,51.3,7.7,28.4,30.7,17.7,12.4,10.7,0.0,0.0
Emiway Bantai,Khatam Hue Waande,commercial,commercial,0.6605,3053,11.6,59.5,0.0,33.1,40.3,20.6,49.1,0.0,4.3,0.0
Emiway Bantai,Khatam,commercial,commercial,0.6974,3655,29.6,51.6,2.9,61.7,35.3,17.2,26.5,77.9,0.0,0.0
Emiway Bantai,King Of Indian Hip Hop,commercial,commercial,0.662,8091,39.8,82.6,8.1,55.8,82.8,61.4,85.0,5.9,0.0,0.5
Emiway Bantai,MACHAYENGE 4 (Teri Maa Chahegi More),commercial,elite,0.459,9781,41.4,93.0,4.2,75.2,54.7,80.5,85.0,4.3,0.0,0.0
Emiway Bantai,No Brands,commercial,commercial,0.5277,4027,34.4,87.5,7.9,67.2,22.4,85.8,85.0,0.0,7.1,0.0
Emiway Bantai,Round One,commercial,commercial,0.9497,3667,28.7,58.5,0.0,29.0,30.5,18.8,85.0,11.3,0.0,0.0
EPR,ADR / ABR,elite,elite,0.4946,3476,52.7,80.6,10.5,86.9,31.4,88.6,85.0,24.3,0.0,0.0
EPR,Badluram ka badan,elite,mid,0.6498,2310,11.3,38.8,0.0,49.9,4.5,13.5,40.4,0.0,0.0,0.0
EPR,Ekla Cholo Re,elite,elite,0.6164,1531,12.8,52.5,0.0,77.3,0.0,52.7,77.2,0.0,0.0,0.0
EPR,Fibonacci,elite,elite,0.4887,3466,10.6,32.6,8.1,98.4,82.8,16.6,85.0,0.0,0.0,0.0
EPR,Koi Gham Nahi,elite,commercial,0.6188,1839,22.8,87.0,0.0,41.9,19.7,100.0,85.0,0.0,0.0,0.0
EPR,Q,elite,elite,0.9341,2137,32.3,89.0,6.4,96.4,47.8,78.4,85.0,0.0,0.0,0.0
EPR,Raastamahn,elite,elite,0.7512,1793,35.1,85.7,6.5,72.0,32.5,59.0,85.0,41.6,0.0,0.0
EPR,Srini Bana EPR,elite,elite,0.9652,1505,31.4,87.4,9.5,97.1,89.8,100.0,85.0,70.6,0.0,0.0
Hanumankind,Big Dawgs,mid,mid,0.7324,3176,27.9,71.2,0.0,70.4,80.2,36.0,68.2,85.7,0.0,0.0
Hanumankind,Holiday,mid,commercial,0.7581,1798,37.6,70.2,0.0,27.2,32.8,18.1,36.9,0.0,0.0,0.0
Hanumankind,Run It Up,mid,commercial,0.8921,5850,8.0,27.3,1.4,66.2,16.2,15.6,11.3,9.6,0.0,0.0
Hanumankind,Taste the Thunder,mid,commercial,0.9121,2647,23.5,27.5,3.2,44.4,39.7,14.2,20.2,0.0,0.0,0.0
Ikka,Angaar,commercial,commercial,0.691,4427,45.9,49.7,12.4,92.0,62.1,31.8,53.4,0.0,0.0,0.0
Ikka,House of Lies,commercial,commercial,0.7947,3252,39.2,43.3,0.0,39.8,2.7,70.0,24.3,0.0,0.0,0.0
Ikka,Jagga Jatt,commercial,commercial,0.5019,2754,30.1,94.5,0.0,30.8,83.1,62.1,85.0,0.0,0.0,0.0
Ikka,KEM CHO,commercial,commercial,0.5125,1179,30.3,69.1,14.3,76.0,66.2,85.2,18.8,0.0,0.0,0.0
Ikka,Khatma,commercial,commercial,0.7261,3070,42.6,73.6,3.8,53.8,51.6,30.7,47.0,13.9,0.0,0.0
Ikka,Laadla,commercial,commercial,0.6031,1767,32.7,84.2,22.9,40.3,37.8,18.9,75.9,0.0,0.0,0.0
Ikka,Nindra,commercial,commercial,0.799,1284,53.8,61.0,0.0,38.1,43.4,29.3,26.5,0.0,0.0,0.0
Ikka,Nishu,commercial,commercial,0.6982,2740,30.7,44.7,3.6,55.6,36.0,19.9,19.2,0.0,0.0,0.0
Ikka,Sab Jaanta Hai,commercial,commercial,0.678,2684,30.5,29.6,0.0,53.6,41.4,47.5,11.1,0.0,0.0,0.0
Ikka,Sanki,commercial,commercial,0.7788,4344,29.7,88.2,14.4,57.8,71.6,96.1,85.0,22.8,1.9,0.0
Ikka,Trap Munde,commercial,commercial,0.5831,2957,53.4,73.8,4.3,67.6,83.0,100.0,85.0,0.0,5.2,0.0
Ikka,WOH,commercial,commercial,0.7743,3504,44.8,74.7,0.0,38.8,45.4,23.6,19.2,0.0,0.0,0.0
JTrix,Aadat,commercial,commercial,0.5625,870,10.4,50.4,0.0,92.0,0.0,10.9,17.4,38.3,0.0,0.0
JTrix,Banger Pro Max,commercial,commercial,0.742,2306,21.2,64.9,0.0,51.4,40.4,16.3,40.7,59.0,0.0,0.0
JTrix,Blow Up,commercial,commercial,0.6427,2018,21.1,64.4,0.0,41.2,38.9,55.9,70.3,21.2,0.0,0.0
